dep_code,dep_nom,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
77,SEINE-ET-MARNE,18 873,19 768,19 728,20 012,19 720,18 614,18 307,18 155,17 165,16 103,14 673,14 510,13 837,13 170,12 545,10 729,11 454,11 176,11 076,11 244,11 950,11 883,12 269,10 769,10 750,11 546,11 388,11 770,11 170,11 665,11 253,13 282,13 658,15 158,15 214,15 038,18 849,18 849,20 872,20 782,20 232,19 544,20 983,23 164,23 644,23 333,23 333,23 776,23 645,24 557,24 498,24 382,24 598,26 139,25 965,25 223,25 223,25 096,25 942
78,YVELINES,24 944,24 313,23 381,23 982,23 272,22 620,21 485,19 871,19 513,19 689,18 653,17 101,14 498,14 324,13 077,14 225,13 514,14 509,16 110,16 229,16 096,15 424,16 384,16 317,16 933,16 776,16 526,16 543,16 993,16 298,16 298,15 557,16 245,18 361,16 850,19 008,19 110,18 864,22 672,20 766,20 766,20 766,21 422,21 522,21 522,21 195,21 104,21 272,21 736,20 573,20 339,21 007,20 363,25 415,25 067,26 072,26 072,25 848,26 189
79,DEUX-SEVRES,12 744,13 001,12 661,12 647,11 847,11 822,10 570,10 740,10 192,10 728,9 708,8 989,8 535,8 358,8 567,9 014,9 004,8 913,8 608,8 130,7 443,8 034,7 577,7 156,6 699,6 529,6 533,6 533,6 239,6 081,5 188,5 188,5 188,5 187,5 187,5 187,5 187,5 187,5 186,5 164,5 164,6 748,5 874,6 211,5 874,5 926,5 926,6 419,6 419,6 419,6 419,6 416,6 389,6 389,6 358,6 750,6 727,6 708,6 708
80,SOMME,25 639,23 894,20 440,19 005,16 937,17 286,16 197,16 100,15 658,15 310,15 370,15 490,15 378,15 059,14 458,12 201,12 162,11 777,12 086,11 853,10 662,10 169,9 375,8 552,8 480,8 727,7 754,7 984,7 377,7 291,6 261,6 641,6 740,6 740,6 983,6 622,6 622,6 622,6 597,6 473,6 473,6 473,6 473,6 473,6 119,6 119,6 490,6 490,6 490,6 490,6 877,8 136,7 765,8 114,8 114,7 841,7 841,7 841,7 561
81,TARN,18 791,17 903,16 986,17 046,15 613,15 403,14 342,13 934,11 969,11 943,12 377,12 377,11 703,12 430,12 552,11 760,10 852,9 941,10 140,10 104,9 589,8 767,7 237,7 042,5 782,5 778,5 229,4 579,5 442,4 779,4 549,4 549,4 549,4 651,4 648,4 648,4 798,4 779,4 479,4 264,4 264,4 264,4 636,4 636,4 636,4 636,4 803,5 574,5 712,5 771,5 712,5 676,5 676,5 676,5 676,5 484,5 584,6 265,6 267
82,TARN-ET-GARONNE,9 478,8 235,7 515,6 965,6 458,6 458,5 668,5 507,5 507,5 507,5 519,5 519,5 105,5 105,3 509,2 848,2 450,2 192,3 470,3 220,3 187,2 897,2 891,2 498,2 742,2 510,2 753,2 753,2 753,2 711,2 708,2 708,2 708,2 708,2 677,2 677,2 677,2 655,2 646,2 624,2 624,4 680,4 680,4 024,4 024,4 236,4 236,4 389,4 389,4 664,4 664,4 664,4 664,4 664,4 574,4 689,4 689,4 689,4 581
83,VAR,35 355,33 612,32 286,32 150,33 262,30 329,33 946,34 350,34 660,34 326,33 833,32 560,30 494,29 453,27 835,29 219,28 133,27 037,27 162,26 847,24 439,21 751,20 654,18 571,17 749,16 767,15 058,18 948,17 778,17 141,14 769,15 491,16 157,16 040,16 229,15 073,15 073,16 690,15 187,13 141,13 141,12 920,13 629,13 958,14 781,13 350,13 711,13 879,15 678,14 548,17 388,14 943,14 602,14 571,14 576,14 559,14 808,14 808,15 612
84,VAUCLUSE,28 855,27 739,27 086,25 961,24 725,24 107,22 175,21 043,20 496,20 003,19 036,18 268,17 738,16 401,15 211,15 046,14 231,14 351,13 500,13 390,11 557,11 446,11 039,9 226,9 376,9 104,8 146,7 905,7 992,10 005,9 625,9 150,9 150,9 217,9 452,9 384,9 384,9 384,9 384,8 805,8 805,7 949,8 041,9 987,9 987,9 716,9 956,10 975,9 633,10 412,10 895,10 232,10 190,9 787,9 787,9 991,9 991,9 991,10 209
85,VENDEE,23 336,23 297,23 297,22 584,21 573,21 050,20 208,19 847,19 614,18 671,19 454,19 065,19 360,18 784,18 409,18 452,17 449,17 481,16 773,16 057,16 050,15 750,14 251,14 231,13 560,12 950,12 461,12 011,12 011,12 011,11 846,11 580,10 924,10 924,11 414,13 028,13 428,14 597,13 385,11 400,10 920,10 766,10 971,10 971,10 971,10 971,11 131,11 131,11 131,10 709,10 840,10 479,10 560,10 560,11 656,11 212,11 220,10 791,11 787
86,VIENNE,11 069,11 069,10 005,10 901,10 701,10 753,10 605,10 689,10 140,9 831,9 094,10 206,8 955,8 077,7 826,7 674,6 577,7 505,7 796,7 707,7 558,7 965,7 412,7 246,7 223,7 213,6 860,6 860,6 860,6 860,6 328,6 314,7 813,7 950,7 948,7 797,7 947,7 947,6 596,6 319,6 319,6 319,6 319,6 319,6 319,6 319,8 048,7 796,7 796,7 763,7 763,7 763,7 763,7 763,7 718,7 718,7 718,7 718,7 718
