dep_code,dep_nom,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
29,FINISTERE,,,,,,,,,,,,,,,,,,,,,,,,,,,36,35,36,37,37,37,37,37,37,37,35,35,36,37,36,37,37,35,33,33,33,33,33,33,33,32,32,32,32,31,31,31,32
30,GARD,,,,,,,,,,,,,,,,,,,,,,,,,,,19,18,21,20,17,17,17,17,19,20,19,17,16,15,14,15,15,15,15,15,15,15,15,14,13,14,14,14,13,13,13,12,13
31,HAUTE-GARONNE,,,,,,,,,,,,,,,,,,,,,,,,,,,27,28,31,31,32,34,32,32,33,35,33,35,35,35,36,35,36,36,37,37,37,37,36,37,38,38,39,40,39,40,40,41,41
32,GERS,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,18,18,18,18,17,17,17,17,17,17,17,16,16,16,16,16,16,17,16,16,16,16,16,16,16,16,16,16,16,16,16
33,GIRONDE,,,,,,,,,,,,,,,,,,,,,,,,,,,53,48,48,49,49,48,50,50,52,51,52,51,52,51,49,48,47,45,47,45,45,44,44,45,47,47,46,46,46,47,47,47,47
34,HERAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,34,36,35,36,37,37,36,36,33,33,34,33,32,31,31,30,28,28,27,28,27,27,25,23,23,25,25,27,29,29,29,29,29
35,ILLE-ET-VILAINE,,,,,,,,,,,,,,,,,,,,,,,,,,,44,44,44,44,43,41,39,41,43,43,43,42,42,45,42,41,41,42,41,42,41,41,41,41,41,41,41,43,44,42,43,43,43
36,INDRE,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,8,8,9,8,6,7,7,7,7,8,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,9,9,9,9
37,INDRE-ET-LOIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,14,13,15,14,18,16,16,16,16,16,15,15,17,17,18,19,20,21,21,21,21,22,22,23,24,24,24,24,24,24,24
38,ISERE,,,,,,,,,,,,,,,,,,,,,,,,,,,50,47,49,50,48,50,49,49,49,50,48,48,47,46,48,50,52,51,51,51,51,47,45,48,48,48,47,47,46,46,46,46,45
39,JURA,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,13,12,12,12,12,12,11,11,10,11,10,10
40,LANDES,,,,,,,,,,,,,,,,,,,,,,,,,,,31,30,30,29,29,27,27,31,31,31,32,30,27,27,26,26,26,26,26,25,26,24,27,27,29,29,28,28,27,27,28,28,27
41,LOIR-ET-CHER,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,12,11,11,11,11,11,12,12,11,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
42,LOIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,26,27,27,27,27,26,26,27,25,26,27,27,26,26,28,31,30,30,30,30,30,30,29,29,29,29,30,29,30,30,30,30,30
43,HAUTE-LOIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,11,10,10,10,10,10,11,11,11,11,11,12,12,12,12,12
44,LOIRE-ATLANTIQUE,,,,,,,,,,,,,,,,,,,,,,,,,,,52,53,53,54,56,56,55,53,53,53,53,53,52,51,52,53,52,52,50,50,49,49,49,50,50,50,50,50,49,50,50,51,51
45,LOIRET,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,12,14,14,14,13,14,15,16,15,16,15,15,15,14,15,14,14,14,14,14,14,14,14,13,13,14,14,16,16,17,16
46,LOT,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,10,9,9,9,10,12,13,13,13,13,13,13,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,10,11,11,11
47,LOT-ET-GARONNE,,,,,,,,,,,,,,,,,,,,,,,,,,,11,12,12,11,11,12,12,12,12,12,12,13,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
48,LOZERE,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,5,5,5,7,6,6,6,6,6,6,6,7,6,6,6,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5
49,MAINE-ET-LOIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,23,24,23,25,25,25,25,24,23,23,21,21,22,21,22,23,23,23,22,22,21,22,22,22,22,22,22,22,22,22,22
